purchasing,purchased,total
C21,D,230.24
C21,E36,8.63
C21,E37-39,166.68
C21,F,24.3
C21,G45,3.98
C21,G46,1475.99
C21,G47,113.03
C21,H49,176.63
C21,H50,1.83
C21,H51,22.77
C21,H52,217.6
C21,H53,19.03
C21,I,118.79
C21,J58,5.5
C21,J59_60,44.51
C21,J61,88.09
C21,J62_63,85.81
C21,K64,169.25
C21,K65,81.54
C21,K66,17.52
C21,L68B,271.14
C21,L68A,0
C21,M69_70,652.08
C21,M71,144.83
C21,M72,0
C21,M73,725.58
C21,M74_75,15.12
C21,N77,130.82
C21,N78,325.01
C21,N79,12.93
C21,N80-82,236.88
C21,O,0
C21,P,107.32
C21,Q86,2.66
C21,Q87_88,0
C21,R90-92,0.84
C21,R93,17.79
C21,S94,23.38
C21,S95,10.6
C21,S96,13.95
C21,T,0
C21,HH,3827.89
C22,A01,334.7
C22,A02,0
C22,A03,0
C22,B,35.2
C22,C10-12,61.05
C22,C13-15,78.62
C22,C16,54.4
C22,C17,181.62
C22,C18,46.89
C22,C19,46.77
C22,C20,3276.16
C22,C21,1.28
C22,C22,1397.37
C22,C23,86.35
C22,C24,113.06
C22,C25,211.83
C22,C26,19.3
C22,C27,22.84
C22,C28,81.1
C22,C29,2.65
C22,C30,0.28
C22,C31_32,5.38
C22,C33,29.52
C22,D,282.94
C22,E36,27.21
C22,E37-39,104.62
C22,F,62.62
C22,G45,17.76
C22,G46,1195.84
C22,G47,98.73
C22,H49,270.41
C22,H50,3.39
C22,H51,14.79
C22,H52,248.84
C22,H53,10.12
C22,I,101.91
C22,J58,5.56
C22,J59_60,25.15
C22,J61,36.04
C22,J62_63,88.86
C22,K64,162.38
C22,K65,44.42
C22,K66,10.24
C22,L68B,124.67
C22,L68A,0
C22,M69_70,955.86
C22,M71,83.2
C22,M72,0
C22,M73,70.37
C22,M74_75,16.38
C22,N77,200
C22,N78,813
C22,N79,14.04
C22,N80-82,236.63
C22,O,0
C22,P,121.76
C22,Q86,5.4
C22,Q87_88,0
C22,R90-92,0
C22,R93,14.04
C22,S94,17.9
C22,S95,4.32
C22,S96,28.24
C22,T,0
C22,HH,7509
C23,A01,0
C23,A02,0
C23,A03,0
C23,B,757.17
C23,C10-12,39.24
C23,C13-15,24.11
C23,C16,199.13
C23,C17,110.11
C23,C18,28.35
C23,C19,191.22
C23,C20,156.07
C23,C21,0.17
C23,C22,123.47
C23,C23,2161.02
C23,C24,235.45
C23,C25,191.02
C23,C26,20.53
C23,C27,26.09
C23,C28,68.54
C23,C29,13
C23,C30,0.36
C23,C31_32,21.8
C23,C33,50.05
C23,D,1074.32
C23,E36,24.28
C23,E37-39,384.82
C23,F,63.78
C23,G45,76.72
C23,G46,1547.93
C23,G47,121.19
C23,H49,294.42
C23,H50,3.45
C23,H51,20.16
C23,H52,562.46
C23,H53,15.76
C23,I,115.01
C23,J58,2.79
C23,J59_60,22.85
C23,J61,49.92
C23,J62_63,59.34
C23,K64,173.82
C23,K65,79.64
C23,K66,38.72
C23,L68B,239.6
C23,L68A,0
C23,M69_70,761.38
C23,M71,148.85
C23,M72,0
C23,M73,27.92
C23,M74_75,21.38
C23,N77,291.99
C23,N78,656
C23,N79,128.54
C23,N80-82,317.67
C23,O,0
C23,P,90.62
C23,Q86,3.24
C23,Q87_88,0
C23,R90-92,0.84
C23,R93,15.95
C23,S94,47.72
C23,S95,12.76
C23,S96,17.7
C23,T,0
C23,HH,4888
C24,A01,0
C24,A02,0
C24,A03,0
C24,B,193.63
C24,C10-12,72.61
C24,C13-15,28.76
C24,C16,62.87
C24,C17,11.89
C24,C18,12.75
C24,C19,170.89
C24,C20,235.39
C24,C21,0.19
C24,C22,133.8
C24,C23,174.9
C24,C24,3153.84
C24,C25,1022.65
C24,C26,43.54
C24,C27,91.52
C24,C28,108.53
C24,C29,10.36
C24,C30,7.63
C24,C31_32,3.89
C24,C33,151.79
C24,D,2152.53
C24,E36,101.34
C24,E37-39,2725.73
C24,F,129.05
C24,G45,58.5
C24,G46,1706.18
C24,G47,146.05
C24,H49,203.84
C24,H50,2.59
C24,H51,13.6
C24,H52,685.13
C24,H53,14.24
C24,I,165.19
C24,J58,3.94
C24,J59_60,32.02
C24,J61,44.07
C24,J62_63,72.3
C24,K64,281.92
C24,K65,67.51
C24,K66,18.54
C24,L68B,375.95
C24,L68A,0
C24,M69_70,1048.25
C24,M71,175.58
C24,M72,0
C24,M73,26
C24,M74_75,39.82
C24,N77,299.76
C24,N78,614
C24,N79,83.44
C24,N80-82,557.37
C24,O,0
C24,P,73.69
C24,Q86,13.19
C24,Q87_88,0
C24,R90-92,0.94
C24,R93,23.37
C24,S94,32.99
C24,S95,2.22
C24,S96,30.04
C24,T,0
C24,HH,4315
C25,A01,0.01
C25,A02,0
C25,A03,0
C25,B,80.94
C25,C10-12,64.08
C25,C13-15,21.16
C25,C16,76.42
C25,C17,37.56
C25,C18,19.41
C25,C19,68.76
C25,C20,386.4
C25,C21,0.1
C25,C22,440.65
C25,C23,219.56
C25,C24,2738.4
C25,C25,6194.59
C25,C26,72.51
C25,C27,193.03
C25,C28,196.12
C25,C29,16.26
C25,C30,3.48
C25,C31_32,16.81
C25,C33,506.94
C25,D,503.7
C25,E36,75.38
C25,E37-39,379.16
C25,F,173.23
C25,G45,15.05
C25,G46,2387.99
C25,G47,203.59
C25,H49,242.53
C25,H50,2.73
C25,H51,17.88
C25,H52,460.35
C25,H53,20.51
C25,I,171.2
C25,J58,6.27
C25,J59_60,46.42
C25,J61,83.49
C25,J62_63,128.61
C25,K64,317.85
C25,K65,88.65
C25,K66,34.13
C25,L68B,206.23
C25,L68A,0
C25,M69_70,1053.21
C25,M71,226.7
C25,M72,0
C25,M73,63.1
C25,M74_75,45.62
C25,N77,354.44
C25,N78,924.11
C25,N79,28.11
C25,N80-82,570.31
C25,O,0
C25,P,143.41
C25,Q86,9.18
C25,Q87_88,0
C25,R90-92,0.94
C25,R93,22.45
C25,S94,20.69
C25,S95,14.43
C25,S96,23.58
C25,T,0
C25,HH,14168.05
C26,A01,0.01
C26,A02,0.01
C26,A03,0
C26,B,13.85
C26,C10-12,28.9
C26,C13-15,48.74
C26,C16,37.14
C26,C17,64.25
C26,C18,27.07
C26,C19,27.6
C26,C20,77.03
C26,C21,0.2
C26,C22,524.73
C26,C23,195.98
C26,C24,264.62
C26,C25,808.88
C26,C26,693.74
C26,C27,267.75
C26,C28,131.75
C26,C29,9.1
C26,C30,0.41
C26,C31_32,40.34
C26,C33,256.57
C26,D,223.83
C26,E36,27.4
C26,E37-39,99.02
C26,F,79.43
C26,G45,12.91
C26,G46,1424.14
C26,G47,124.15
C26,H49,137.21
C26,H50,1.35
C26,H51,8.28
C26,H52,230.24
C26,H53,15.98
C26,I,84.56
C26,J58,9.32
C26,J59_60,68.81
C26,J61,58.63
C26,J62_63,297.94
C26,K64,198.15
C26,K65,71.1
C26,K66,38.87
C26,L68B,122.06
C26,L68A,0
C26,M69_70,477.26
C26,M71,223.91
C26,M72,0.04
C26,M73,92.54
C26,M74_75,12.27
C26,N77,76.06
C26,N78,446.36
C26,N79,23.51
C26,N80-82,144.08
C26,O,0
C26,P,116.82
C26,Q86,3.18
C26,Q87_88,0
C26,R90-92,0.06
C26,R93,11.67
C26,S94,3.53
C26,S95,47.37
C26,S96,7.32
C26,T,0
C26,HH,6615.5
C27,A01,0.01
C27,A02,0
C27,A03,0
C27,B,16.02
C27,C10-12,31.45
C27,C13-15,27.19
C27,C16,27.06
C27,C17,61.35
C27,C18,15.66
C27,C19,29.09
C27,C20,238.72
C27,C21,0.19
C27,C22,686.1
C27,C23,90.94
C27,C24,632.05
C27,C25,1316.5
C27,C26,358.36
C27,C27,523.21
C27,C28,99.91
C27,C29,7.31
C27,C30,0
C27,C31_32,25.18
C27,C33,127.8
C27,D,171.91
C27,E36,17.87
C27,E37-39,85.12
C27,F,75.19
C27,G45,7.93
C27,G46,1343.76
C27,G47,120.64
C27,H49,124.74
C27,H50,1.57
C27,H51,13.86
C27,H52,183.73
C27,H53,12.46
C27,I,63.98
C27,J58,3.7
C27,J59_60,28.74
C27,J61,70.83
C27,J62_63,75.39
C27,K64,127.9
C27,K65,62.64
C27,K66,28.72
C27,L68B,44.88
C27,L68A,0
C27,M69_70,276.94
C27,M71,172.25
C27,M72,0
C27,M73,80.2
C27,M74_75,12.11
C27,N77,85.09
C27,N78,595.21
C27,N79,22.93
C27,N80-82,146.1
C27,O,0
C27,P,93.99
C27,Q86,3.47
C27,Q87_88,0
C27,R90-92,0.04
C27,R93,8.6
C27,S94,21.11
C27,S95,42.77
C27,S96,7.32
C27,T,0
C27,HH,4975.85
C28,A01,0.01
