purchasing,purchased,total
U,C22,0
P3,C22,22760.83
P51,C22,2078.75
A01,C23,1253.12
A02,C23,44.91
A03,C23,25.77
B,C23,1849.36
C10-C12,C23,4657.60
C13-C15,C23,366.5
C16,C23,1375.65
C17,C23,214.81
C18,C23,59.36
C19,C23,391.03
C20,C23,3219.35
C21,C23,663.22
C22,C23,1666.62
C23,C23,27879.91
C24,C23,2777.09
C25,C23,5927.63
C26,C23,1362.20
C27,C23,1979.17
C28,C23,3432.30
C29,C23,5019.23
C30,C23,813.1
C31_C32,C23,1555.29
C33,C23,1807.45
D35,C23,1937.60
E36,C23,237.82
E37-E39,C23,845
F,C23,90287.21
G45,C23,1082.59
G46,C23,3322.11
G47,C23,1079.48
H49,C23,735.26
H50,C23,43.62
H51,C23,38.67
H52,C23,361.38
H53,C23,41.16
I,C23,1204.15
J58,C23,42.19
J59_J60,C23,61.29
J61,C23,388.49
J62_J63,C23,280.58
K64,C23,58.47
K65,C23,14.02
K66,C23,19.52
L68B,C23,2641.70
L68A,C23,939.95
M69_M70,C23,326.23
M71,C23,1106.89
M72,C23,618.33
M73,C23,114.09
M74_M75,C23,252.26
N77,C23,477.67
N78,C23,74.64
N79,C23,16.39
N80-N82,C23,646.89
O84,C23,863.14
P85,C23,861.51
Q86,C23,889.75
Q87_Q88,C23,148.95
R90-R92,C23,167.15
R93,C23,172.62
S94,C23,148.76
S95,C23,101.44
S96,C23,280.56
T,C23,10.08
U,C23,0
P3,C23,14302.93
P51,C23,1265.67
A01,C24,257.02
A02,C24,38.47
A03,C24,7.7
B,C24,948.49
C10-C12,C24,776.9
C13-C15,C24,303.79
C16,C24,451.05
C17,C24,430.63
C18,C24,252.02
C19,C24,1454.57
C20,C24,4068.07
C21,C24,374.54
C22,C24,2973.70
C23,C24,2419.72
C24,C24,95991.74
C25,C24,58056.14
C26,C24,5070.74
C27,C24,19293.38
C28,C24,30109.26
C29,C24,28616.30
C30,C24,6102.65
C31_C32,C24,5464.04
C33,C24,9621.35
D35,C24,2867.97
E36,C24,364.91
E37-E39,C24,5922.92
F,C24,20337.50
G45,C24,2061.34
G46,C24,4471.74
G47,C24,1080.08
H49,C24,816.01
H50,C24,13.76
H51,C24,25.93
H52,C24,351.56
H53,C24,15.11
I,C24,369.43
J58,C24,221.67
J59_J60,C24,28.24
J61,C24,322.29
J62_J63,C24,738.5
K64,C24,20.96
K65,C24,11.78
K66,C24,5.08
L68B,C24,1218.12
L68A,C24,166.61
M69_M70,C24,444.69
M71,C24,981.4
M72,C24,1103.66
M73,C24,154.22
M74_M75,C24,544.97
N77,C24,931.65
N78,C24,76.27
